60	广东原动力信息科技有限责任公司	移动互联网,信息安全	未融资	[]	50-150人	天河区	开发/测试/运维类	本科	Java	8k-15k	3-5年
61	广州米美科技有限公司	数据服务,企业服务	未融资	['岗位晋升', '扁平管理', '专项奖金', '带薪年假']	15-50人	天河区	开发/测试/运维类	本科	晋升空间大,福利制度全,逗比同事,BOSS好	5k-8k	1-3年
62	广东锦峰集团有限公司广州分公司	移动互联网	不需要融资	['绩效奖金', '年度旅游', '领导好', '美女多']	500-2000人	天河区	开发/测试/运维类	大专	周末双休,扁平化管理,美女多多	10k-20k	3-5年
63	广州探迹科技有限公司	数据服务,企业服务	B轮	['B2B销售', '精准营销', '大数据', '人工智能']	50-150人	番禺区	开发/测试/运维类	本科	科技前沿,团队精良	10k-20k	1-3年
64	北京易诚互动网络技术有限公司	其他,金融	不需要融资	['绩效奖金', '带薪年假', '通讯津贴', '午餐补助']	500-2000人	越秀区	开发/测试/运维类	本科	""	10K-15K	3-5年
65	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	天河区	技术	本科	六险一金、五天八小时、没有加班	18k-25k	5-10年
66	广州未山信息科技有限公司	移动互联网,金融	天使轮	['年底双薪', '带薪年假', '年终分红', '绩效奖金']	15-50人	南沙区	开发/测试/运维类	不限	金融平台,mvc,java,linux	7k-13k	3-5年
67	广州久邦世纪科技有限公司	移动互联网	上市公司	['技能培训', '节日礼物', '股票期权', '带薪年假']	500-2000人	越秀区	开发/测试/运维类	本科	弹性上班,技术氛围好,业绩奖金,工作环境	15k-25k	1-3年
68	广州玖维信息科技有限公司	移动互联网,数据服务	上市公司	['年底双薪', '专项奖金', '年终分红', '带薪年假']	150-500人	海珠区	开发/测试/运维类	大专	周末双休,五险一金,节日福利,房补餐补	5k-7k	1年以下
69	广东以大供应链管理有限公司	移动互联网,医疗健康	A轮	['弹性工作', '领导好', '美女多', '帅哥多']	50-150人	天河区	开发/测试/运维类	本科	牛逼团队,扁平管理,学习平台,双休	3k-6k	不限
70	品骏控股有限公司	移动互联网,电子商务	上市公司	['年底双薪', '带薪年假', '年度旅游', '定期体检']	2000人以上	海珠区	开发/测试/运维类	本科	七险一金,免费三餐,发展平台大	15k-30k	5-10年
71	广州数夫软件科技有限公司	移动互联网	未融资	[]	150-500人	天河区	开发/测试/运维类	本科	五险一金,双休,弹性工作制,即将上市	9k-18k	3-5年
72	广东省电信规划设计院有限公司	移动互联网,金融	上市公司	['绩效奖金', '带薪年假', '通讯津贴', '年底双薪']	2000人以上	天河区	开发/测试/运维类	本科	高薪,高温补贴,节日福利	8k-15k	3-5年
73	广州百倍网络科技有限公司	移动互联网,电子商务	不需要融资	['周末双休', '五险一金', '加班费', '岗位晋升']	150-500人	海珠区	开发/测试/运维类	本科	周末双休,五险一金,弹性上班,年终奖金	18k-23k	3-5年
74	万惠投资管理有限公司	金融	上市公司	['互联网金融', '技能培训', '带薪年假', '充满挑战']	500-2000人	天河区	开发/测试/运维类	本科	福利齐全,年底双薪,晋升机会多,氛围好	15k-25k	5-10年
75	广州市汇聚支付电子科技有限公司	金融,移动互联网	不需要融资	['扁平管理', '开放文化', '九零后团队', '丰厚年终奖']	150-500人	天河区	开发/测试/运维类	本科	晋升机会大,核心技术部,高薪福利好,丰厚年终奖	16k-22k	5-10年
76	武汉佰钧成技术有限责任公司	移动互联网	不需要融资	['带薪年假', '计算机软件', '管理规范', '定期体检']	2000人以上	天河区	开发/测试/运维类	本科	弹性工作,高并发,物联网,车联网	15k-26k	5-10年
77	广电运通金融电子股份有限公司	移动互联网,金融	上市公司	['节日礼物', '技能培训', '专项奖金', '免费班车']	2000人以上	萝岗区	开发/测试/运维类	本科	上市公司,国企,免费班车,餐补	10K-16K	1-3年
78	铂涛信息技术（广州）有限公司	移动互联网,旅游	未融资	['节日礼物', '技能培训', '绩效奖金', '年度旅游']	500-2000人	海珠区	开发/测试/运维类	本科	五险一金,绩效奖金,弹性工作,大平台	10k-14k	1-3年
79	广州一智通供应链管理有限公司	企业服务	B轮	['通讯津贴', '带薪年假', '股票期权', '住宿补贴']	150-500人	天河区	开发/测试/运维类	本科	互联网物流,高薪,氛围优,大牛多	18k-25k	5-10年
80	上海一米投资管理有限公司	移动互联网,金融	A轮	['国资平台', '供应链金融', '银行从业高管', '年终分红']	150-500人	天河区	开发/测试/运维类	本科	敏捷开发,弹性时间,五险一金,金融科技	8k-16k	3-5年
81	深圳合众财富金融投资管理有限公司广州分公司	金融,移动互联网	不需要融资	[]	150-500人	天河区	开发/测试/运维类	大专	五险一金,周末双休,加班补贴,弹性制度	10k-20k	3-5年
82	广州铠源信息科技有限公司	数据服务、信息安全	不需要融资	[]	50-150人	天河区	开发/测试/运维类	本科	高速发展,扁平管理,敏捷开发,团队融洽	15K-25K	5-10年
83	美的集团股份有限公司	硬件	上市公司	['五险一金', '带薪年假', '免费班车', '年度旅游']	2000人以上	番禺区	开发/测试/运维类	本科	六险一金,餐补,节日福利,免费体检	15k-25k	5-10年
84	广州同略信息科技有限公司	信息安全,数据服务	不需要融资	['绩效奖金', '午餐补助', '带薪年假', '定期体检']	50-150人	天河区	开发/测试/运维类	本科	氛围轻松,员工旅游,项目奖金,五险一金	5k-8k	1-3年
85	广州富米科技有限公司	移动互联网,电子商务	A轮	['节日礼物', '团队靠谱', '活动多多', '社保']	150-500人	荔湾区	开发/测试/运维类	本科	技术大神,气氛活跃	15k-25k	5-10年
86	广州市小蓝车网络科技有限公司	移动互联网,电子商务	B轮	['绩效奖金', '帅哥多', '美女多', '扁平管理']	500-2000人	天河区	开发/测试/运维类	大专	团队好,发展空间大	9k-16k	1-3年
87	万惠投资管理有限公司	金融	上市公司	['互联网金融', '技能培训', '带薪年假', '充满挑战']	500-2000人	天河区	开发/测试/运维类	本科	大牛团队,核心部门,舒适办公,高薪	20k-30k	5-10年
88	北京公瑾科技有限公司广州分公司	移动互联网	B轮	['年底双薪', '带薪年假', '年度旅游', '五险一金']	500-2000人	天河区	开发/测试/运维类	本科	周末双休,五险一金,季度奖金,年底双薪	15k-20k	5-10年
89	广州市凝新信息科技有限公司	其他,企业服务	不需要融资	['专项奖金', '带薪年假', '年度旅游', '五险一金']	15-50人	荔湾区	开发/测试/运维类	本科	周末双休,五险一金,员工旅游,年终奖金	8k-15k	3-5年
90	北京泰岳智桥信息技术有限公司	移动互联网,社交网络	不需要融资	['通讯津贴', '五险一金', '弹性工作', '股票期权']	150-500人	天河区	开发/测试/运维类	本科	福利待遇好,六险一金,餐补,通信补助	15k-20k	5-10年
91	品骏控股有限公司	移动互联网,电子商务	上市公司	['年底双薪', '带薪年假', '年度旅游', '定期体检']	2000人以上	海珠区	开发/测试/运维类	本科	技术大牛,待遇从优,发展空间大,轻松氛围	15k-30k	5-10年
92	广州牧云网络科技有限公司	移动互联网	B轮	['节日礼物', '年底双薪', '专项奖金', '股票期权']	150-500人	天河区	开发/测试/运维类	本科	技术氛围好,有大牛,公司美女多,薪资福利棒	15k-30k	3-5年
93	美的集团股份有限公司	硬件	上市公司	['五险一金', '带薪年假', '免费班车', '年度旅游']	2000人以上	番禺区	开发/测试/运维类	本科	六险一金,餐补,节日福利,免费体检	15k-25k	5-10年
94	广东亿迅科技有限公司	移动互联网	不需要融资	['技能培训', '节日礼物', '年底双薪', '带薪年假']	2000人以上	天河区	开发/测试/运维类	不限	大数据平台,千万级用户	13k-16k	5-10年
95	广州九尾信息科技有限公司	移动互联网 ,O2O	C轮	['绩效奖金', '年终奖', '五险一金', '年度体检']	150-500人	番禺区	开发/测试/运维类	大专	五险一金+绩效奖金+期权+弹性上班+晋升空间	10k-18k	3-5年
96	星汉（广州）科技有限公司	移动互联网,游戏	天使轮	['年底双薪', '股票期权', '带薪年假', '绩效奖金']	50-150人	海珠区	开发/测试/运维类	本科	高成长,天使轮,弹性工作	15k-25k	1-3年
97	广东省广告集团股份有限公司	广告营销	上市公司	['年底双薪', '股票期权', '带薪年假', '绩效奖金']	2000人以上	海珠区	开发/测试/运维类	本科	大数据行业,互联网氛围,平台大,领导好	10k-20k	1-3年
98	广州康乐富健康管家有限公司	医疗健康,生活服务	不需要融资	['年底双薪', '带薪年假', '绩效奖金', '股票期权']	150-500人	天河区	开发/测试/运维类	大专	发展空间大,团队氛围好	12k-18k	5-10年
99	信必优(深圳)信息技术有限公司	移动互联网,电子商务	未融资	['节日礼物', '年底双薪', '带薪年假', '年度旅游']	2000人以上	天河区	开发/测试/运维类	本科	年终奖,六险一金,8天年假,美女如云	10k-20k	3-5年
100	广州米美科技有限公司	数据服务,企业服务	未融资	['岗位晋升', '扁平管理', '专项奖金', '带薪年假']	15-50人	天河区	开发/测试/运维类	本科	晋升空间大,福利制度全,逗比同事,BOSS好	8k-12k	1-3年
101	上海华钦信息科技股份有限公司	数据服务,金融	未融资	['专项奖金', '带薪年假', '定期体检', '交通补助']	500-2000人	天河区	开发/测试/运维类	本科	双休,六险一金,年终奖,弹性上下班	18k-30k	5-10年
102	上海中软华腾软件系统有限公司	企业服务,金融	上市公司	['年底双薪', '绩效奖金', '带薪年假', '定期体检']	2000人以上	天河区	开发/测试/运维类	本科	福利齐全,氛围好,工作稳定,技术前沿	10k-15k	3-5年
103	广州玖维信息科技有限公司	移动互联网,数据服务	上市公司	['年底双薪', '专项奖金', '年终分红', '带薪年假']	150-500人	天河区	开发/测试/运维类	大专	双休,提成,带薪休假,五险一金	4k-6k	1年以下
104	广州市安发网络科技有限公司	移动互联网	A轮	['带薪年假', '五险一金', '员工旅游', '技能培训']	50-150人	天河区	开发/测试/运维类	大专	带薪假期,五险一金,节日福利,空间大	10k-18k	3-5年
