公司名称	公司类型	融资阶段	标签	公司规模	公司所在地	职位类型	学历要求	福利	薪资	工作经验
68	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	本科	晋升机会多,氛围好,环境优,领导好	15k-20k	3-5年
69	北京江融信科技有限公司	移动互联网,其他	B轮	['绩效奖金', '管理规范', '通讯津贴', '定期体检']	150-500人	福田区	开发/测试/运维类	本科	大数据金融,高福利待遇,竞争力薪资,高成长空间	15k-20k	3-5年
70	深圳点猫科技有限公司	移动互联网,教育	B轮	['专项奖金', '股票期权', '岗位晋升', '年度旅游']	150-500人	南山区	开发/测试/运维类	本科	极客团队,技术氛围强,年终奖,弹性上班	12k-24k	3-5年
71	深圳谜语者科技有限公司	移动互联网,分类信息	天使轮	['忍者', '极客']	15-50人	南山区	开发/测试/运维类	本科	项目有趣，挑战多	10K-20K	3-5年
72	深圳市金证科技股份有限公司	金融	上市公司	['激情的团队', '股票期权', '努力变大牛', '有舞台给您跳']	2000人以上	南山区	开发/测试/运维类	本科	证券金融,股权激励	15k-25k	1-3年
73	深圳市泽林信息咨询有限公司	教育	不需要融资	['节日礼物', '技能培训', '绩效奖金', '年度旅游']	500-2000人	南山区	开发/测试/运维类	大专	五险一金 周末双休 绩效	7k-11k	不限
74	深圳市场景零售科技有限公司	移动互联网	天使轮	['每日茶歇', '弹性工作', '扁平管理', '带薪年假']	15-50人	南山区	开发/测试/运维类	本科	团队有趣,弹性上下班,每日茶歇,项目有前景	18k-35k	3-5年
75	维恩贝特科技有限公司	电子商务,金融	A轮	['年底双薪', '五险一金', '通讯津贴', '交通补助']	500-2000人	罗湖区	开发/测试/运维类	本科	专业培训,年度旅游,晋升空间,年度调薪	15k-25k	5-10年
76	宝能百货零售有限公司	移动互联网,O2O	不需要融资	['""']	2000人以上	罗湖区	开发/测试/运维类	本科	新零售,电商平台	15k-25k	3-5年
77	深圳市博悦科创科技有限公司	移动互联网	不需要融资	['年底双薪', '定期体检', '绩效奖金', '技能培训']	500-2000人	南山区	开发/测试/运维类	本科	前景好,福利好	10k-12k	1-3年
78	深圳市和讯华谷信息技术有限公司	移动互联网,数据服务	D轮及以上	['五险一金', '文体活动', '团建旅游', '美味晚餐']	150-500人	南山区	开发/测试/运维类	本科	技术型公司、扁平化管理、弹性工作、氛围好	15k-30k	3-5年
79	深圳万威科技有限公司	其他	不需要融资	['带薪年假', '午餐补助', '定期体检', '年底双薪']	500-2000人	南山区	开发/测试/运维类	本科	绩效奖金,年终奖金,餐补,弹性工作	13k-23k	5-10年
80	上海山屿海投资集团有限公司	金融,移动互联网	不需要融资	[]	150-500人	南山区	开发/测试/运维类	本科	公司环境好,互联网金融,团队氛围好,有技术挑战	15k-30k	3-5年
81	众安在线财产保险股份有限公司	金融	上市公司	['定期体检', '每天下午茶', '六险一金', '年度体检']	2000人以上	南山区	开发/测试/运维类	本科	扁平管理 福利好 发展好	15k-25k	3-5年
82	上海安硕信息技术股份有限公司	金融	上市公司	['岗位晋升', '顶尖团队', '福利优厚', '股票期权']	2000人以上	福田区	技术	本科	架构 核心 专家	6k-12k	1-3年
83	深圳大湾区智慧科技有限公司	金融	不需要融资	['弹性工作', '领导好', '岗位晋升', '诱人的高薪']	50-150人	福田区	开发/测试/运维类	本科	晋升空间大,平台好,领导好	18k-36k	3-5年
84	北京掌众科技有限公司	移动互联网,金融	B轮	['技能培训', '节日礼物', '绩效奖金', '年度旅游']	500-2000人	南山区	开发/测试/运维类	本科	技术大牛多,七险一金,福利待遇好,年轻团队	13k-25k	3-5年
85	深圳市世纪天元科技有限公司	移动互联网,分类信息	不需要融资	[]	50-150人	宝安区	开发/测试/运维类	本科	提供住宿	10K-13K	3-5年
86	上海海万信息科技股份有限公司	移动互联网,金融	不需要融资	[]	500-2000人	福田区	开发/测试/运维类	本科	氛围佳,团队融洽,环境好,机会多	15k-20k	3-5年
87	深圳市博乐信息技术有限公司	移动互联网	A轮	['节日礼物', '绩效奖金', '年度旅游', '领导好']	15-50人	福田区	开发/测试/运维类	本科	福利待遇好,股票期权,弹性上班,季度旅行	15k-25k	5-10年
88	浙江远图互联科技股份有限公司	移动互联网,医疗健康	上市公司	['带薪年假', '定期体检', '专项奖金', '股票期权']	150-500人	None	技术	不限	互联网医疗,软件和硬件,弹性工作,期权激励	10k-20k	3-5年
